BSI_2000,BSI_2024,NDVI_2000,NDVI_2024,SI_2000,SI_2024,latitude,longitude,Zone,NDVI_Change,SI_Change,Degradation_Status,NDVI_2000_norm,NDVI_2024_norm,BSI_2000_norm,BSI_2024_norm,SI_2000_norm,SI_2024_norm,CLDI,CLDI_2000,WorldCover_Class,WorldCover_Label,WC_Consistency
-0.0129614984616637,-0.0277410838752985,0.1350366473197937,0.2150665670633316,11004.295206872634,10620.386647999929,6.690204760737008,38.21208287812768,Northern Zone,0.0800299197435379,-383.9085588727066,Stable,0.2988499840862011,0.6985922429177303,0.3479530173777068,0.4194606686889758,0.3463779813302978,0.425193662304133,0.3615808116086542,0.5242365094362711,20,Shrubland,Consistent
-0.0140053071081638,-0.0277374796569347,0.1646227687597274,0.2047052383422851,10628.099106908012,10785.95739223372,6.66684822355372,38.217961406309136,Central Zone,0.0400824695825576,157.85828532570667,Stable,0.4516941238879151,0.6773177823762053,0.3427005180304375,0.4194785396476872,0.2611734266102927,0.4643052574129611,0.3800457221887957,0.4291977787872322,40,Cropland,Consistent
-0.0115028610453009,-0.0231455136090517,0.1567649692296981,0.2099847197532653,11870.823739180636,10616.956150075992,6.744959479641174,38.24628850695717,Northern Zone,0.0532197505235672,-1253.867589104644,Stable,0.4111001375372549,0.6881579093504095,0.3552929566501369,0.4422470923165148,0.5426377983630264,0.4243833002655757,0.3734718330728648,0.5095653778990189,20,Shrubland,Consistent
-0.0374357365071773,-0.0615747794508934,0.2053521424531936,0.2572072148323059,9894.941586487512,9864.96705176142,6.664694991619792,38.20935528193737,Central Zone,0.0518550723791122,-29.974534726090496,Improved,0.662105147160398,0.7851177815134012,0.2247973798094552,0.2517015276889771,0.095120774621273,0.2467462830760993,0.2323008241652124,0.2554107952868921,20,Shrubland,Consistent
-0.0087942592799663,-0.0532224588096141,0.1535528600215912,0.2619229853153229,10401.147669788848,9576.495658334055,6.618510056462988,38.2254464896714,Central Zone,0.1083701252937316,-824.652011454793,Improved,0.3945061385617892,0.794800465632866,0.3689227814768765,0.2931152163889569,0.2097712559215958,0.1786027448415956,0.2262548810685732,0.4553780163464875,20,Shrubland,Consistent
-0.0797608941793441,-0.05839579179883,0.23348169028759,0.260951280593872,10424.234515526136,10287.801001323383,6.771305840906738,38.26310641224912,Northern Zone,0.027469590306282,-136.43351420275212,Improved,0.8074245176121242,0.7928053070667134,0.0118149871155994,0.2674640457552696,0.2150001894781104,0.346629328900804,0.253162425973385,0.1428322752242398,20,Shrubland,Consistent
0.0231453217566013,-0.0095524247735738,0.1363787651062011,0.1901109665632248,11482.173356991265,10582.742245018842,6.670164628659615,38.22110709424416,Central Zone,0.0537322014570236,-899.4311119724207,Stable,0.3057834660227397,0.6473520060308189,0.5296444128880895,0.5096463186730152,0.4546124765712287,0.4163011936840073,0.4124781313232966,0.5969240861693028,20,Shrubland,Consistent
0.0370114035904407,-0.0240620225667953,0.1230577155947685,0.2343046516180038,12168.12820445281,11177.710419396444,6.712417801330726,38.233071672901744,Northern Zone,0.1112469360232353,-990.4177850563664,Stable,0.2369659172958959,0.7380929557868762,0.5994192571812741,0.4377027245537223,0.6099742077042376,0.5568462787869488,0.3736335952300683,0.6833376600472818,40,Cropland,Consistent
0.0166986845433712,-0.0388727448880672,0.1206200420856475,0.2174024134874344,11494.733402737098,11362.39312006774,6.707088031194529,38.24667565438837,Northern Zone,0.0967823714017868,-132.3402826693582,Stable,0.2243727116817213,0.7033883336430149,0.4972045994528309,0.3642660510855626,0.4574571979948088,0.6004725549487637,0.3776801594939141,0.6284664635939504,40,Cropland,Consistent
0.0108729675412178,-0.0191763844341039,0.1419242769479751,0.2052522450685501,11404.15760847016,10614.662439664482,6.667400852667524,38.21836910933583,Central Zone,0.0633279681205749,-789.4951688056772,Stable,0.3344319993878507,0.6784409272282972,0.4678892887837853,0.4619274047854719,0.4369427104186454,0.4238414734269815,0.3841260525068893,0.5605393290249394,30,Grassland,Consistent
-0.0080806529149413,-0.0482279621064662,0.1783384382724762,0.2103397846221923,10608.32173343173,11170.079959866303,6.674699177170662,38.21130105037217,Northern Zone,0.0320013463497161,561.7582264345747,Stable,0.522550309371259,0.6888869484289908,0.3725136857858883,0.3178796549876123,0.2566940545467964,0.5550437897964073,0.3619291802410698,0.4018177619594962,40,Cropland,Consistent
0.0309935826808214,0.0023125642910599,0.1188104376196861,0.1828591674566269,11059.327474405669,10377.279147184296,6.658120201846767,38.21788497806714,Central Zone,0.0640487298369407,-682.0483272213733,Stable,0.2150241582208446,0.6324622058804767,0.5691372696678129,0.5684770298795409,0.3588422249809508,0.3677661126254641,0.4278652285487167,0.6349975467861118,30,Grassland,Consistent
-0.0038994252681732,-0.0439131371676921,0.1798744946718216,0.227769985795021,10671.137657795523,10310.886427317568,6.633047584152647,38.228686902539536,Central Zone,0.0478954911231994,-360.2512304779557,Stable,0.5304856928422393,0.7246756138661715,0.3935538405681583,0.3392740463770131,0.2709212165648127,0.3520826343055585,0.3098609338411299,0.4070075490622903,30,Grassland,Consistent
0.0733579918742179,0.0279482677578926,0.1174762845039367,0.1811219006776809,12558.4118212768,11950.314326802987,6.590623294508072,38.20306399092165,Central Zone,0.0636456161737442,-608.0974944738118,Degraded,0.2081318223749821,0.6288951524133173,0.7823171780560725,0.6955876963131743,0.6983694403744547,0.739352985185,0.5420993297242936,0.7703031303042216,40,Cropland,Consistent
-0.0149878710508346,-0.0487376265227794,0.1535411924123764,0.2469292730093002,11517.975237479322,11288.636262196433,6.685151241395493,38.20124989920157,Northern Zone,0.0933880805969238,-229.3389752828898,Stable,0.39444586281062,0.7640145356220249,0.3377562052152167,0.315352562891275,0.462721234969869,0.5830494988713655,0.3292084008306431,0.4966481771532288,20,Shrubland,Consistent
-0.0518205575644969,-0.0567471645772457,0.199197232723236,0.2312310338020324,10301.276137331444,10121.083432544105,6.751671997790232,38.26284150223427,Northern Zone,0.0320338010787963,-180.19270478734143,Improved,0.6303084182399656,0.7317820315120012,0.1524122127891419,0.2756385085745691,0.1871513790726919,0.3072468276153346,0.2782499023394371,0.2679997305312981,10,Tree cover,Inconsistent
0.0244175065308809,-0.0266439896076917,0.1379222571849823,0.198463425040245,10710.365618211148,10116.67014053187,6.553678778415258,38.20199902826987,Southern Zone,0.0605411678552627,-593.6954776792772,Stable,0.3137572627757554,0.664501741656246,0.5360461127771591,0.4249004407504853,0.2798059468958862,0.3062043071442315,0.3564601228258689,0.5598963918244473,20,Shrubland,Consistent
0.0231918394565582,-0.0167143493890762,0.1330977827310562,0.1983314305543899,11851.721769473112,11391.354930373662,6.724360551616162,38.225319776226016,Northern Zone,0.0652336478233337,-460.36683909944986,Stable,0.2888336630601678,0.6642307231839414,0.5298784923714118,0.4741350243564083,0.5383113983196508,0.6073139966753556,0.4315879450500229,0.6222089958452698,40,Cropland,Consistent
0.0237729027867317,-0.0434276759624481,0.1229924336075782,0.1923604607582092,11710.613803838543,10559.455615937364,6.653527178765236,38.22817754992256,Central Zone,0.0693680271506309,-1151.1581879011792,Stable,0.2366286656153433,0.6519707935220772,0.5328024332418884,0.3416811305986759,0.5063518926775941,0.4108003595100773,0.3586790143205796,0.6427967757004136,40,Cropland,Consistent
-0.0107586150988936,-0.0258844494819641,0.144280806183815,0.2225905358791351,11332.29581338503,10620.041072380953,6.7416735255526845,38.24743707830951,Northern Zone,0.0783097296953201,-712.254741004077,Stable,0.3466060075524825,0.7140408771611682,0.3590380409247495,0.4286665028633987,0.4206667515445783,0.4251120294422925,0.356601918166894,0.5185417588100993,20,Shrubland,Consistent
